energy,group,subject
27.91760413,high,whatsapp
29.88554381,high,whatsapp
6.837360039,high,whatsapp
75.02369829,high,whatsapp
74.20483413,high,whatsapp
24.08966092,high,whatsapp
5.374692612,high,whatsapp
23.52162658,high,whatsapp
68.46362262,high,whatsapp
4.424209332,high,whatsapp
24.23363233,high,whatsapp
65.87853786,high,whatsapp
4.529947077,idle,whatsapp
5.853601404,idle,whatsapp
4.48907667,idle,whatsapp
4.139453544,idle,whatsapp
4.472149215,idle,whatsapp
4.01579268,idle,whatsapp
5.699690175,idle,whatsapp
5.445769896,idle,whatsapp
4.30728375,idle,whatsapp
5.070829512,idle,whatsapp
4.530503742,idle,whatsapp
4.101305715,idle,whatsapp
4.284348129,idle,whatsapp
4.360934961,idle,whatsapp
4.26312012,idle,whatsapp
4.104506388,idle,whatsapp
18.88036842,idle,whatsapp
4.098669207,idle,whatsapp
4.35108987,idle,whatsapp
4.305494454,idle,whatsapp
5.237302272,idle,whatsapp
4.254403377,idle,whatsapp
5.377697325,idle,whatsapp
5.821456413,idle,whatsapp
5.165886498,idle,whatsapp
4.19620665,idle,whatsapp
16.70244018,idle,whatsapp
11.87239699,idle,whatsapp
5.039643567,idle,whatsapp
4.263394584,idle,whatsapp
8.968653999,low,whatsapp
9.372642594,low,whatsapp
9.56770011,low,whatsapp
10.24309903,low,whatsapp
26.13483871,low,whatsapp
9.826669287,low,whatsapp
9.885116217,low,whatsapp
9.801259167,low,whatsapp
26.21013765,low,whatsapp
26.28460784,low,whatsapp
23.35476497,low,whatsapp
22.9647175,low,whatsapp
9.122404167,low,whatsapp
9.364962,low,whatsapp
8.987061333,low,whatsapp
10.56293792,low,whatsapp
9.298820262,low,whatsapp
27.18370661,low,whatsapp
9.43945668,low,whatsapp
17.70120689,low,whatsapp
24.4002016,low,whatsapp
9.015205251,low,whatsapp
26.30093784,low,whatsapp
9.807250374,low,whatsapp
9.726767832,low,whatsapp
28.38022435,low,whatsapp
8.941578021,low,whatsapp
26.37766741,low,whatsapp
25.27717738,low,whatsapp
25.63914236,low,whatsapp
51.98599521,medium,whatsapp
14.566044,medium,whatsapp
18.9194949,medium,whatsapp
17.17669841,medium,whatsapp
30.7193895,medium,whatsapp
48.25362714,medium,whatsapp
14.55521162,medium,whatsapp
80.57907342,medium,whatsapp
48.93225861,medium,whatsapp
18.92840166,medium,whatsapp
20.41820999,medium,whatsapp
14.58888383,medium,whatsapp
18.53098509,medium,whatsapp
21.87995246,medium,whatsapp
27.89046334,medium,whatsapp
14.76536751,medium,whatsapp
24.31029424,medium,whatsapp
14.95367627,medium,whatsapp
15.02727083,medium,whatsapp
39.064311,medium,whatsapp
49.02177186,medium,whatsapp
35.62513926,medium,whatsapp
49.39366311,medium,whatsapp
14.54308992,medium,whatsapp
23.43365846,medium,whatsapp
15.10047026,medium,whatsapp
41.70156522,medium,whatsapp
43.80245265,medium,whatsapp
143.949412,medium,whatsapp
17.76191206,medium,whatsapp
